exerciseNumber,puzzleId,difficulty,game,solutionSequence,moveCount,extractionConfidence,sourcePdfPage
713,intermediate-0713,intermediate,"Boris Spassky - Jan Timman, Cannes 1990","[""Nf3"", ""Qxb2"", ""Qh2#"", ""Qxf3"", ""Qxb2""]",5,medium,308
714,intermediate-0714,intermediate,"Boris Spassky - Artur Yusupov, Linares 1990","[""Nxf3+"", ""Bxf3"", ""Rxe5"", ""dxe5"", ""Qxf3+"", ""Qxf3"", ""Qxe1+"", ""Rxe1"", ""Bxf3""]",9,medium,308
715,intermediate-0715,intermediate,"Alexander Beliavsky - Boris Spassky, Linares 1990","[""Nf8+"", ""f5"", ""h5"", ""Kg8"", ""Rxf8"", ""Qg6+"", ""Kh8"", ""Qxg7#""]",8,medium,309
716,intermediate-0716,intermediate,"Boris Spassky - Eric Prie, Montpellier 1991","[""Bxh6"", ""gxh6"", ""Rxc3+"", ""Qg4""]",4,medium,309
717,intermediate-0717,intermediate,"Robert Fischer - Boris Spassky, Belgrade (9) 1992","[""Nbxc5"", ""Nexc5"", ""bxc5"", ""Rxa6+"", ""Bb6"", ""Bxc5"", ""Bxb3"", ""bxc5"", ""Bc8+"", ""Rxa6+"", ""Kd7"", ""Nxc5+""]",12,medium,309
718,intermediate-0718,intermediate,"Robert Fischer - Boris Spassky, Belgrade (19) 1992","[""Rxe5"", ""Bxe5"", ""dxe5"", ""Rxe5"", ""dxe5"", ""Bxe5"", ""Qe7"", ""Qxe5"", ""Qxa7+""]",9,medium,309
719,intermediate-0719,intermediate,"Nana Ioseliani - Boris Spassky, Copenhagen 1997","[""d7"", ""Ra1"", ""Kf8"", ""Qd6"", ""Nxd7"", ""Qe8+""]",6,medium,309
720,intermediate-0720,intermediate,"Boris Spassky - Viktor Korchnoi, St Petersburg (5) 1999","[""Nxf2"", ""Rf1"", ""Nxf2"", ""Qe2"", ""Rxf2+"", ""Kxf2"", ""Qd4+"", ""Kg2"", ""Qxa1"", ""Ne4"", ""Rf1"", ""Bh6""]",12,medium,309
721,intermediate-0721,intermediate,"Boris Spassky - Nicolas Eliet, France 2002","[""f4+"", ""Be7"", ""Ne8"", ""Kxf4"", ""Bc7+"", ""Rf1+"", ""Ke5"", ""Bc7+"", ""Ke6"", ""Bc4+"", ""Ke7"", ""Rxf7+"", ""Ke8"", ""Bd6"", ""Re7+"", ""Bxg8"", ""Rf1"", ""Kg5"", ""Ke3"", ""Bg3"", ""d3"", ""Rg1+"", ""Kf6"", ""e5+"", ""Bd6+"", ""Ke6"", ""Ke7"", ""Bd6+"", ""Kd8"", ""Ne4""]",30,low,309
722,intermediate-0722,intermediate,"Boris Spassky - Scott Coleman, Reno (simul) 2004","[""Nxd5"", ""exf6"", ""Rxf6"", ""gxf6"", ""Nxe6+"", ""Kf7"", ""Qh5+"", ""Kxe6"", ""Qxd5#"", ""Qh4"", ""Qh3"", ""Rf5"", ""Qh7+"", ""Kf6"", ""g4"", ""Rxg5"", ""fxg5+"", ""Ke5"", ""Qg6"", ""Ba6"", ""Rf7"", ""Qe8"", ""Rd1"", ""exd5"", ""f5+"", ""Bxf5"", ""Qxf5+""]",27,low,310
723,intermediate-0723,intermediate,"Boris Spassky - Craig Christensen, Reno (simul) 2004","[""Rxf7""]",1,medium,310
724,intermediate-0724,intermediate,"Robert Fischer - Heinz Matthai, Montreal 1956","[""Rxc3"", ""fxg6"", ""Rh8+"", ""Qxc3"", ""Qxc3"", ""bxc3"", ""Qh6"", ""Qd4"", ""Rh3"", ""Rh8+"", ""Qxb4"", ""Rxh1+""]",12,medium,310
725,intermediate-0725,intermediate,"Robert Fischer - Attilio Di Camillo, Washington DC 1956","[""Bc7"", ""Nf4+"", ""Kf1"", ""Qxf4"", ""Qxd7"", ""Rxc7"", ""Re8+""]",7,medium,310
726,intermediate-0726,intermediate,"George Kramer - Robert Fischer, New York 1957","[""Nxc3"", ""Qxc3"", ""Nxd4""]",3,medium,310
727,intermediate-0727,intermediate,"Robert Fischer - James Sherwin, New York 1957","[""Rxf7"", ""Bxf7+"", ""Kh8"", ""Rc1+"", ""h5"", ""Rc4"", ""Rf5+"", ""Kh7"", ""Rxc4"", ""Rxf8+"", ""Kxf8"", ""Qxc4"", ""Qf1"", ""Rf1+"", ""Kh8"", ""h5"", ""Rxf1+"", ""Rxf1+"", ""Qxd5"", ""Rxf8+"", ""Kxf8"", ""exd5+""]",22,low,311
728,intermediate-0728,intermediate,"Robert Fischer - Samuel Reshevsky, New York 1958","[""e5"", ""Ne8"", ""Nh5"", ""g4+""]",4,medium,311
729,intermediate-0729,intermediate,"Robert Fischer - Hector Rossetto, Mar del Plata 1959","[""Bb3"", ""Rb8"", ""Be6"", ""a5"", ""a4"", ""h6"", ""h3"", ""g5"", ""g4"", ""fxg4"", ""hxg4""]",11,medium,311
730,intermediate-0730,intermediate,"Wolfgang Unzicker - Robert Fischer, Varna (ol) 1962","[""Ra2"", ""b2"", ""Kf1"", ""Rxa2"", ""Qxa2"", ""Re2"", ""Rxc3""]",7,medium,311
731,intermediate-0731,intermediate,"Robert Fischer - Victor Ciocaltea, Varna (ol) 1962","[""Bg5"", ""hxg5"", ""hxg5"", ""Qxg5"", ""Nf4"", ""gxf6"", ""Nxe2"", ""fxe7+""]",8,medium,311
732,intermediate-0732,intermediate,"Robert Fischer - L.W. Beach, Poughkeepsie 1963","[""Bh6"", ""Nd6+"", ""Kd7"", ""Ke7"", ""Bh6+"", ""Bh6"", ""Bf4"", ""Kxd6"", ""Rhe1"", ""Bxh6"", ""Qxe5"", ""Qc7"", ""Qc7"", ""Bxg7"", ""Kxg7"", ""Qxe5+""]",16,low,311
733,intermediate-0733,intermediate,"Robert Fischer - Arthur Bisguier, New York 1963","[""e6"", ""f6+"", ""fxe6"", ""Be5"", ""Nh7"", ""fxg6+""]",6,medium,311
734,intermediate-0734,intermediate,"Robert Fischer - Pal Benko, New York 1963","[""Rf6"", ""e5"", ""f5"", ""Kg8"", ""h6"", ""e5"", ""Bxf6"", ""e5"", ""Qxe5"", ""Qxh7#""]",10,medium,312
735,intermediate-0735,intermediate,"Robert Fischer - Kevin Walters, San Francisco (simul) 1964","[""Bc5"", ""Rxe7"", ""Rxe7"", ""Bc5"", ""Qf4+"", ""Qb7"", ""g3"", ""Qxf2+"", ""Qf4+"", ""Bxc5"", ""Qf7#""]",11,medium,312
736,intermediate-0736,intermediate,"Georgi Tringov - Robert Fischer, Havana 1965","[""Qc5+"", ""Nf6"", ""Qxf8+"", ""Ng8"", ""Qxg8#"", ""Ne7"", ""Bxe7+"", ""Kh1"", ""Nf6"", ""Bxf6"", ""Bxc8"", ""Nxe5"", ""Qe6"", ""Neg4"", ""exf6"", ""Bxe6"", ""Qxe6"", ""Qxg5""]",18,low,312
737,intermediate-0737,intermediate,"Robert Fischer - Istvan Bilek, Havana 1965","[""f4"", ""f5+"", ""exf4"", ""Qxh5+""]",4,medium,312
738,intermediate-0738,intermediate,"Robert Fischer - Svetozar Gligoric, Havana (ol) 1966","[""Nxa6"", ""Bxh3"", ""bxa6"", ""Rxc6+""]",4,medium,312
739,intermediate-0739,intermediate,"Robert Fischer - Joaquim Durao, Havana (ol) 1966","[""Nxa5"", ""Nf6+"", ""Ke7"", ""Nxa5"", ""Rc7"", ""bxa5"", ""Nf6+"", ""Ke7"", ""Rb7+"", ""Rd7"", ""Rxd7#""]",11,medium,312
740,intermediate-0740,intermediate,"Robert Fischer - Renato Naranja, Manila 1967","[""Bg5"", ""g4"", ""d5"", ""Ba2"", ""dxe4"", ""dxe4"", ""Qd4"", ""g5"", ""Bxe4"", ""Ne2"", ""g5"", ""g6"", ""fxg6"", ""fxg6"", ""Qg4+"", ""Bxh6"", ""gxh6"", ""Qxh6"", ""Bg7"", ""Qg5"", ""Nc6"", ""f6"", ""Nd5"", ""Qxg5"", ""hxg5"", ""d5"", ""hxg5"", ""hxg5""]",28,low,312
741,intermediate-0741,intermediate,"Robert Fischer - Lhamsuren Myagmarsuren, Sousse 1967","[""Qh6"", ""hxg6"", ""fxg6"", ""Rxh7"", ""Rxh7"", ""Be4"", ""Qf8"", ""Qxh7+"", ""Kxh7"", ""hxg6+"", ""Kxg6"", ""Kg8"", ""Rh8#""]",13,low,313
742,intermediate-0742,intermediate,"Robert Fischer - Oscar Panno, Buenos Aires 1970","[""Nxh7"", ""Nf5"", ""exf5"", ""gxf5"", ""gxf5"", ""f6"", ""Bxd5+"", ""Bxf5"", ""f6"", ""Be6+"", ""exf6"", ""Qe1+"", ""Kg2"", ""Qf1+"", ""Nxe6"", ""exf6"", ""Qd7"", ""Nxe6+"", ""f7+"", ""Bxd5"", ""exd5"", ""Nf5"", ""gxf5"", ""gxf5"", ""Nd6"", ""f6"", ""Nf5"", ""Nxh7"", ""hxg6"", ""fxg6"", ""dxe4"", ""Qxh7+"", ""Kf8"", ""Qh8#""]",34,low,313
743,intermediate-0743,intermediate,"Robert Fischer - Mark Taimanov, Vancouver (2) 1971","[""Bc8"", ""Bf5+"", ""Kf4"", ""h4"", ""Ng4+"", ""Be6"", ""Nf3"", ""Kf4"", ""h4""]",9,medium,313
744,intermediate-0744,intermediate,"Anatoly Karpov - Viktor Korchnoi, Moscow (2) 1974","[""e5"", ""Ne6"", ""fxe6"", ""Nxf6+"", ""exf6"", ""Qxh7+"", ""Kf8"", ""Qh8+"", ""b3"", ""Ke7"", ""Rh7+"", ""Kd8"", ""Nxf6+"", ""exf6"", ""Nh5"", ""Qxh7+"", ""Kf8"", ""Qg5+"", ""Bxd5"", ""dxe5"", ""Nxf6+"", ""exf6"", ""Nh5"", ""gxh5"", ""Rg1+"", ""Kh8"", ""Qg7#""]",27,low,313
745,intermediate-0745,intermediate,"Viktor Korchnoi - Anatoly Karpov, Moscow (21) 1974","[""Nxh7"", ""Re8"", ""Kxh7"", ""Qh6+"", ""Kg8"", ""Qxg6+"", ""Kh8"", ""Qh5+"", ""Qh6+"", ""Bxf7"", ""Rxf7"", ""Qxf7"", ""Qe8"", ""Kg8"", ""Be4""]",15,low,313
746,intermediate-0746,intermediate,"Anatoly Karpov - Dirk Suling, Bremen (simul) 1977","[""Nf3+"", ""Rxf3"", ""Kh1"", ""Rh4+""]",4,medium,314
747,intermediate-0747,intermediate,"Anatoly Karpov - Angel Martin Gonzalez, Las Palmas 1977","[""Bxf6"", ""e5"", ""Nxe5"", ""Bxf6+"", ""fxg6"", ""hxg6"", ""Bxf6+"", ""exf6"", ""Ngxf6+"", ""Bxf6"", ""Nxf6+""]",11,medium,314
748,intermediate-0748,intermediate,"Anatoly Karpov - Viktor Korchnoi, Baguio City (8) 1978","[""Nh6"", ""Rg7"", ""Rd7"", ""Rb8"", ""Bxd7"", ""Qxf7+"", ""Rxf7"", ""Rxf7#""]",8,medium,314
749,intermediate-0749,intermediate,"Anatoly Karpov- John van der Wiel, Amsterdam 1980","[""e8=Q+"", ""Qe4"", ""Qf1+"", ""Rbxe8"", ""Rhxe8"", ""g6+"", ""Kf8"", ""Qf4+"", ""Qf3+"", ""Qf2+"", ""Kg8"", ""Qf7+"", ""Kh8"", ""Rxe8+"", ""Rxe8"", ""Qxe8+"", ""Bf8"", ""Qxf8#""]",18,low,314
750,intermediate-0750,intermediate,"Anatoly Karpov - Miguel Quinteros, Buenos Aires 1980","[""f5"", ""Bh5"", ""Bd3"", ""Rxh7"", ""exf5"", ""Bxf5+""]",6,medium,314
751,intermediate-0751,intermediate,"Anatoly Karpov - Bent Larsen, Amsterdam 1980","[""d5"", ""cxd5"", ""exd5"", ""Qf5+""]",4,medium,314
752,intermediate-0752,intermediate,"Zoltan Ribli - Anatoly Karpov, Tilburg 1980","[""Na5"", ""Nd4"", ""Nxe7+"", ""Qxe7""]",4,medium,314
753,intermediate-0753,intermediate,"Anatoly Karpov - Anthony Miles, Amsterdam 1981","[""d5"", ""Bxd5"", ""Qf6"", ""Rh5"", ""Qc8"", ""h5"", ""Qd4+""]",7,medium,314
754,intermediate-0754,intermediate,"Anatoly Karpov - Efim Geller, Moscow 1981","[""Rxf7"", ""Qa4"", ""Qc4"", ""Kxf7"", ""Qxg6+"", ""Kf8"", ""Ke7"", ""Qg7+"", ""Ke8"", ""Bg6#""]",10,medium,315
755,intermediate-0755,intermediate,"Anatoly Karpov - Gian Carlo Angioni, Turin (simul) 1982","[""Bd5+"", ""Rxd5"", ""Kh8"", ""Nf7+"", ""Kg8"", ""Nd8+"", ""Ne5+"", ""Rxd5"", ""Qf7+"", ""Kh8"", ""Qe8+"", ""Bf8"", ""Qxf8#""]",13,low,315
756,intermediate-0756,intermediate,"Anatoly Karpov - De Chen, Hannover 1983","[""Rxf4"", ""g5"", ""Bxe4"", ""gxf4""]",4,medium,315
757,intermediate-0757,intermediate,"Anatoly Karpov - Murray Chandler, Bath 1983","[""Qxh2+"", ""Nxg3"", ""hxg3"", ""Qxg3"", ""Rxf5+"", ""Kxh2"", ""Nxg3"", ""Bxg3+"", ""Kg1+"", ""Qb5"", ""Qa6"", ""Ne2+""]",12,medium,315
758,intermediate-0758,intermediate,"Garry Kasparov - Anatoly Karpov, Moscow (11) 1985","[""Qxd7"", ""Rxd7"", ""Re8+"", ""Kh7"", ""Be4+""]",5,medium,315
759,intermediate-0759,intermediate,"Garry Kasparov - Anatoly Karpov, Leningrad (16) 1986","[""Rxg6"", ""Qe5"", ""Rg8+"", ""Qxe5"", ""Nxe5"", ""Rxa6"", ""d2"", ""Ke7"", ""d6+""]",9,medium,315
760,intermediate-0760,intermediate,"Alexander Beliavsky - Anatoly Karpov, Brussels 1988","[""Nh6"", ""c7"", ""Rc8"", ""Nd4"", ""Rxc7"", ""Rxc7"", ""Nxc7"", ""Nb3"", ""Bxf2+"", ""Nd6"", ""Kg7"", ""Nxf7+""]",12,medium,315
761,intermediate-0761,intermediate,"Anatoly Karpov - Lars Bo Hansen, Thessaloniki (ol) 1988","[""Nxf7"", ""g4"", ""Qe7"", ""Nxf7"", ""Qd4"", ""Kxf7"", ""Rc7+"", ""Kf8"", ""Rxb7+""]",9,medium,316
762,intermediate-0762,intermediate,"Yasser Seirawan - Anatoly Karpov, Rotterdam 1989","[""Bxf3"", ""h4"", ""Rc8"", ""hxg3+"", ""Kxg3"", ""Nxf3"", ""Qf1"", ""Qxa7"", ""Qxb2+""]",9,medium,316
763,intermediate-0763,intermediate,"Jonathan Speelman - Anatoly Karpov, Roquebrune (blitz) 1992","[""Bb5"", ""Qf3"", ""Rf5"", ""Bxd3"", ""Rxg5"", ""h2+"", ""Kh1"", ""f5""]",8,medium,316
